,RANK,NAME,TEAM,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,id,team_img,player_img
422,423,Collin Gillespie,DEN,G,24,9.4,3.6,1.3,2.9,46.4,0.6,1.6,39.5,0.3,0.5,66.7,0.9,1.1,0.5,0.0,0.6,0,0,4278585,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phx.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278585.png&w=350&h=254
423,424,Lindy Waters III,OKC,F,38,7.4,3.6,1.3,2.7,47.1,1.0,2.2,43.5,0.1,0.1,100.0,1.1,0.6,0.1,0.2,0.2,0,0,4066317,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/gs.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066317.png&w=350&h=254
424,425,James Bouknight,CHA,SG,14,5.8,3.6,1.3,2.9,43.9,0.9,2.1,43.3,0.1,0.1,50.0,0.6,0.4,0.1,0.1,0.1,0,0,4431712,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4431712.png&w=350&h=254
425,426,Gui Santos,GS,F,23,8.3,3.6,1.2,2.4,50.9,0.4,1.2,37.0,0.7,0.7,94.1,2.1,0.6,0.2,0.1,0.3,0,0,4997536,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/gs.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4997536.png&w=350&h=254
426,427,Jordan McLaughlin,MIN,PG,56,11.2,3.5,1.3,2.6,48.3,0.8,1.6,47.2,0.2,0.3,72.2,1.3,2.0,0.6,0.1,0.3,0,0,3134916,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3134916.png&w=350&h=254
427,428,Onuralp Bitim,CHI,SF,23,11.7,3.5,1.4,3.7,38.1,0.5,1.9,27.3,0.2,0.2,80.0,1.4,0.6,0.1,0.1,0.4,0,0,4438552,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/chi.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4438552.png&w=350&h=254
428,429,Theo Maledon,CHA/PHX,PG,17,12.5,3.5,1.2,4.1,28.6,0.3,1.8,16.7,0.8,0.9,93.3,1.4,1.6,0.4,0.0,1.1,0,0,4683027,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phx.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683027.png&w=350&h=254
429,430,Yuta Watanabe,MEM/PHX,SF,34,13.6,3.4,1.2,3.4,35.3,0.7,2.5,29.4,0.3,0.5,58.8,1.6,0.4,0.4,0.2,0.6,0,0,3133838,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mem.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3133838.png&w=350&h=254
430,431,Moses Brown,POR,C,22,9.1,3.4,1.5,3.0,50.8,0.0,0.0,0.0,0.4,1.4,29.0,3.9,0.3,0.2,0.3,0.5,0,0,4397126,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397126.png&w=350&h=254
431,432,Wenyen Gabriel,MEM,F,5,16.2,3.4,1.6,4.4,36.4,0.2,1.2,16.7,0.0,1.0,0.0,5.0,0.6,0.4,0.4,1.6,0,0,4066264,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mem.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066264.png&w=350&h=254
432,433,Buddy Boeheim,DET,F,10,8.4,3.4,0.9,2.9,31.0,0.8,2.5,32.0,0.8,1.0,80.0,1.0,0.3,0.0,0.1,0.0,0,0,4395676,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/okc.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4395676.png&w=350&h=254
433,434,Ryan Rollins,MIL/WSH,G,13,6.0,3.4,1.1,2.1,51.9,0.2,0.3,75.0,1.0,1.3,76.5,1.0,1.1,0.8,0.2,0.6,0,0,4591725,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mil.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4591725.png&w=350&h=254
434,435,Jalen McDaniels,TOR,PF,50,10.8,3.4,1.3,3.8,34.4,0.2,1.4,16.9,0.5,0.7,73.0,1.6,0.7,0.4,0.1,0.6,0,0,4066731,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066731.png&w=350&h=254
435,436,Nassir Little,PHX,SF,45,10.2,3.4,1.3,2.8,46.0,0.5,1.6,30.0,0.4,0.4,85.0,1.7,0.5,0.2,0.2,0.3,0,0,4395652,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phx.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4395652.png&w=350&h=254
436,437,Marques Bolden,MIL/CHA,C,11,11.0,3.4,1.5,2.3,68.0,0.0,0.1,0.0,0.3,0.4,75.0,3.1,0.4,0.3,0.6,0.3,0,0,4065652,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4065652.png&w=350&h=254
437,438,Jaden Springer,BOS/PHI,G,49,10.3,3.3,1.2,3.0,39.9,0.2,1.0,20.8,0.7,0.9,83.3,1.6,0.9,0.7,0.3,0.7,0,0,4432164,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bos.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432164.png&w=350&h=254
438,439,Charles Bassey,SA,C,19,10.8,3.3,1.5,2.1,72.5,0.0,0.1,0.0,0.3,0.3,83.3,4.0,1.1,0.4,0.9,0.8,0,0,4397886,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sa.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397886.png&w=350&h=254
439,440,Micah Potter,UTAH,C,16,11.6,3.3,1.2,2.5,47.5,0.6,1.3,42.9,0.4,0.5,75.0,2.7,0.4,0.3,0.4,0.3,0,0,4066399,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/utah.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066399.png&w=350&h=254
440,441,Tristan Thompson,CLE,C,49,11.2,3.3,1.5,2.4,61.3,0.0,0.0,0.0,0.3,1.1,28.8,3.6,1.0,0.2,0.3,0.6,1,0,6474,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cle.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6474.png&w=350&h=254
441,442,Garrett Temple,TOR,SF,27,10.7,3.3,1.1,2.9,37.2,0.4,1.5,30.0,0.7,0.8,81.8,1.7,1.0,0.4,0.1,0.5,0,0,4023,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/tor.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4023.png&w=350&h=254
442,443,Oscar Tshiebwe,IND,C,8,5.3,3.3,1.3,2.5,50.0,0.0,0.0,0.0,0.8,1.0,75.0,2.0,0.3,0.3,0.1,0.0,0,0,4432827,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/utah.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432827.png&w=350&h=254
443,444,Terquavion Smith,PHI,G,16,5.3,3.3,1.1,2.9,39.1,0.8,2.2,37.1,0.2,0.3,60.0,0.3,0.8,0.5,0.0,0.4,0,0,4683940,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phi.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683940.png&w=350&h=254
444,445,A.J. Lawson,DAL,G,42,7.4,3.2,1.3,2.9,44.6,0.3,1.2,26.0,0.4,0.5,65.2,1.2,0.5,0.2,0.1,0.3,0,0,4067017,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/dal.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4067017.png&w=350&h=254
445,446,Ish Smith,CHA,PG,43,17.2,3.2,1.5,3.7,41.8,0.1,0.2,50.0,0.1,0.1,75.0,1.8,3.4,0.4,0.1,1.1,0,0,4305,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4305.png&w=350&h=254
446,447,Boban Marjanovic,HOU,C,14,5.1,3.2,1.3,2.4,52.9,0.0,0.1,0.0,0.6,1.0,64.3,2.3,0.4,0.1,0.1,0.4,0,0,4376,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/hou.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4376.png&w=350&h=254
447,448,Kira Lewis Jr.,NO/UTAH/TOR,PG,28,9.4,3.2,1.2,3.3,37.0,0.1,1.2,12.1,0.6,0.7,85.0,0.9,1.3,0.3,0.1,0.5,0,0,4395698,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/utah.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4395698.png&w=350&h=254
448,449,Brandon Williams,DAL,G,17,6.6,3.2,1.2,3.2,37.0,0.2,0.9,20.0,0.6,1.0,64.7,0.8,1.0,0.1,0.1,0.4,0,0,4397040,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/dal.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397040.png&w=350&h=254
449,450,Gabe Vincent,LAL,PG,11,19.8,3.1,1.4,4.5,30.6,0.3,2.5,10.7,0.1,0.2,50.0,0.8,1.9,0.8,0.0,0.5,0,0,3137259,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lal.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3137259.png&w=350&h=254
450,451,Wesley Matthews,ATL,SG,36,11.5,3.1,0.9,2.7,35.1,0.7,1.9,34.8,0.5,0.7,75.0,1.5,0.6,0.4,0.3,0.2,0,0,4032,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/atl.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4032.png&w=350&h=254
451,452,Johnny Davis,WSH,G,50,12.3,3.0,1.2,3.1,40.3,0.3,0.8,35.0,0.3,0.5,58.3,1.4,0.6,0.4,0.2,0.3,0,0,4432356,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/wsh.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432356.png&w=350&h=254
452,453,Olivier-Maxence Prosper,DAL,F,40,8.4,3.0,1.0,2.6,38.5,0.3,1.1,28.9,0.7,1.0,68.3,2.0,0.6,0.2,0.1,0.2,0,0,4595400,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/dal.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4595400.png&w=350&h=254
453,454,Mike Muscala,OKC/WSH/DET,C,53,11.3,3.0,1.1,2.9,35.9,0.5,1.8,29.2,0.3,0.5,68.0,2.4,0.7,0.2,0.2,0.4,0,0,2490089,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/okc.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2490089.png&w=350&h=254
454,455,Saben Lee,PHX,G,24,7.7,3.0,0.8,2.3,36.4,0.1,0.7,12.5,1.2,1.6,74.4,1.3,1.3,0.3,0.1,0.3,0,0,4278124,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phx.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278124.png&w=350&h=254
455,456,Jeremiah Robinson-Earl,NO,F,39,8.6,2.9,1.2,2.4,47.4,0.3,1.0,33.3,0.3,0.4,75.0,1.9,0.5,0.3,0.1,0.4,0,0,4432813,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/no.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432813.png&w=350&h=254
456,457,Nate Williams,HOU,G,22,5.9,2.9,1.2,2.3,54.0,0.1,0.2,40.0,0.3,0.6,53.8,1.0,0.3,0.2,0.0,0.2,0,0,4397821,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/hou.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397821.png&w=350&h=254
457,458,Trevelin Queen,ORL,SG,14,11.8,2.9,1.0,2.7,36.8,0.2,1.2,17.6,0.6,0.9,75.0,1.4,1.3,0.5,0.4,0.5,0,0,4409222,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/orl.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4409222.png&w=350&h=254
458,459,Henri Drell,CHI,F,4,7.5,2.8,1.0,2.5,40.0,0.5,1.5,33.3,0.3,0.5,50.0,1.0,1.0,0.5,0.3,0.5,0,0,4423884,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4423884.png&w=350&h=254
459,460,D.J. Carton,TOR,G,4,9.0,2.8,0.8,2.0,37.5,0.3,1.0,25.0,1.0,1.3,80.0,1.0,0.8,0.3,0.0,0.3,0,0,4432820,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/tor.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432820.png&w=350&h=254
460,461,Orlando Robinson,MIA,C,36,8.4,2.8,1.0,2.0,50.0,0.2,0.4,53.3,0.5,0.7,76.0,2.3,0.9,0.2,0.2,0.5,1,0,4593049,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4593049.png&w=350&h=254
461,462,Damian Jones,CLE,C,39,6.9,2.7,1.1,1.8,59.7,0.1,0.4,21.4,0.5,0.5,85.7,1.6,0.4,0.2,0.3,0.3,0,0,3064559,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cle.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3064559.png&w=350&h=254
462,463,Emoni Bates,CLE,F,15,8.9,2.7,1.0,3.3,30.6,0.7,2.2,30.3,0.1,0.3,25.0,0.9,0.7,0.1,0.1,0.5,0,0,4433620,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cle.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433620.png&w=350&h=254
463,464,Malik Williams,TOR,C,7,15.3,2.7,1.3,4.9,26.5,0.1,0.7,20.0,0.0,0.3,0.0,5.4,0.3,0.4,0.6,0.4,0,0,4277880,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/tor.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4277880.png&w=350&h=254
464,465,Leaky Black,CHA,F,26,10.9,2.7,1.0,2.0,48.1,0.3,0.8,45.0,0.4,0.6,66.7,1.8,0.9,0.3,0.4,0.2,0,0,4395650,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4395650.png&w=350&h=254
465,466,Moussa Diabate,LAC,F,11,5.8,2.6,0.9,1.7,52.6,0.0,0.0,0.0,0.8,1.3,64.3,2.2,0.4,0.5,0.1,0.2,0,0,4433249,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433249.png&w=350&h=254
466,467,Otto Porter Jr.,UTAH/TOR,SF,15,11.6,2.6,0.9,2.2,42.4,0.5,1.5,34.8,0.2,0.2,100.0,1.9,0.5,0.3,0.3,0.1,0,0,2594922,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/utah.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2594922.png&w=350&h=254
467,468,Timmy Allen,MEM,F,5,25.0,2.6,1.2,4.6,26.1,0.0,1.4,0.0,0.2,0.4,50.0,3.4,1.0,0.8,0.0,0.4,0,0,4397148,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mem.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397148.png&w=350&h=254
468,469,Markieff Morris,DAL,PF,26,8.3,2.5,0.9,2.6,33.8,0.6,1.6,35.7,0.2,0.2,83.3,1.5,0.6,0.2,0.1,0.5,0,0,6461,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/dal.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6461.png&w=350&h=254
469,470,Dylan Windler,ATL/LAL/NY,G,17,6.4,2.5,0.9,1.8,50.0,0.8,1.6,48.1,0.0,0.0,0.0,0.9,0.6,0.1,0.0,0.1,0,0,3906786,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/atl.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3906786.png&w=350&h=254
470,471,Furkan Korkmaz,PHI,SG,35,8.6,2.5,0.9,2.2,39.5,0.4,1.1,35.0,0.4,0.6,70.0,0.9,0.7,0.4,0.1,0.3,0,0,3929325,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3929325.png&w=350&h=254
471,472,Alex Len,SAC,C,48,9.3,2.5,1.0,1.7,61.7,0.0,0.1,0.0,0.4,0.7,58.8,2.7,1.0,0.2,0.7,0.6,0,0,2596107,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2596107.png&w=350&h=254
472,473,Greg Brown III,DAL,PF,6,6.7,2.5,0.8,1.8,45.5,0.2,0.5,33.3,0.7,1.5,44.4,1.5,0.7,0.0,0.7,0.7,0,0,4432161,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/dal.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432161.png&w=350&h=254
473,474,Alex Fudge,LAL/DAL,F,6,6.7,2.5,1.0,2.5,40.0,0.2,0.8,20.0,0.3,0.3,100.0,0.8,0.0,0.5,0.0,0.3,0,0,4896481,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lal.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4896481.png&w=350&h=254
474,475,Joe Harris,DET,SF,16,10.6,2.4,0.9,2.4,35.9,0.6,1.9,33.3,0.1,0.1,50.0,0.8,0.6,0.2,0.1,0.3,0,0,2528794,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/det.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2528794.png&w=350&h=254
475,476,Harry Giles III,LAL/BKN,F,23,4.3,2.4,1.0,2.2,46.0,0.1,0.6,21.4,0.3,0.6,53.8,1.3,0.3,0.1,0.1,0.3,0,0,4065649,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lal.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4065649.png&w=350&h=254
476,477,Cory Joseph,GS,PG,26,11.4,2.4,0.9,2.5,35.9,0.5,1.6,31.0,0.2,0.3,57.1,1.2,1.6,0.2,0.1,0.5,0,0,6446,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/orl.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6446.png&w=350&h=254
477,478,AJ Griffin,ATL,F,20,8.6,2.4,0.9,3.1,29.0,0.5,2.0,25.6,0.1,0.1,100.0,0.9,0.3,0.1,0.1,0.4,0,0,4432585,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/hou.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432585.png&w=350&h=254
478,479,Mouhamadou Gueye,TOR,F,11,10.9,2.4,1.0,3.5,28.9,0.0,0.3,0.0,0.4,0.8,44.4,2.1,0.5,0.3,1.6,1.1,0,0,4592933,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/tor.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4592933.png&w=350&h=254
479,480,Xavier Moon,LAC,G,14,8.5,2.4,1.1,3.3,32.6,0.1,1.2,11.8,0.1,0.1,50.0,1.3,1.5,0.2,0.2,0.4,0,0,3914075,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lac.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3914075.png&w=350&h=254
480,481,Jamaree Bouyea,POR/SA,G,9,10.6,2.3,1.1,3.1,35.7,0.1,1.0,11.1,0.0,0.0,0.0,2.1,1.2,0.1,0.0,1.0,0,0,4280245,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sa.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4280245.png&w=350&h=254
481,482,Cole Swider,MIA,F,18,4.8,2.3,0.8,2.1,39.5,0.6,1.7,33.3,0.1,0.1,100.0,0.4,0.3,0.1,0.1,0.4,0,0,4397134,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397134.png&w=350&h=254
482,483,Dereon Seabron,NO,G,6,9.2,2.3,0.7,2.2,30.8,0.2,0.3,50.0,0.8,1.0,83.3,1.2,0.8,0.3,0.2,0.0,0,0,4431811,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/no.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4431811.png&w=350&h=254
483,484,Isaiah Mobley,CLE,F,10,7.2,2.3,1.0,2.4,41.7,0.3,1.0,30.0,0.0,0.1,0.0,1.0,0.6,0.2,0.0,0.2,0,0,4432815,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cle.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432815.png&w=350&h=254
484,485,Amari Bailey,CHA,G,10,6.5,2.3,0.8,2.4,33.3,0.1,0.8,12.5,0.6,0.7,85.7,0.9,0.7,0.3,0.0,0.4,0,0,5105638,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5105638.png&w=350&h=254
485,486,Chuma Okeke,ORL,F,47,9.2,2.3,0.9,2.4,35.7,0.5,1.7,28.0,0.1,0.1,57.1,1.7,0.4,0.2,0.1,0.3,0,0,4278052,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ny.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278052.png&w=350&h=254
486,487,Olivier Sarr,OKC,C,15,6.5,2.3,0.7,1.3,57.9,0.1,0.4,33.3,0.7,1.0,66.7,2.4,0.1,0.0,0.5,0.2,0,0,4278046,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/okc.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278046.png&w=350&h=254
487,488,Julian Phillips,CHI,F,40,8.1,2.2,0.8,1.9,41.6,0.3,1.0,31.6,0.3,0.5,68.4,0.9,0.3,0.2,0.2,0.3,0,0,5105553,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/chi.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5105553.png&w=350&h=254
488,489,Nate Hinton,HOU,G,15,5.0,2.2,0.7,1.7,42.3,0.5,0.9,50.0,0.3,0.3,80.0,1.5,0.7,0.2,0.1,0.2,0,0,4396629,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/hou.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4396629.png&w=350&h=254
489,490,Andre Jackson Jr.,MIL,G,57,10.0,2.2,0.9,1.8,50.0,0.3,0.8,37.0,0.1,0.2,72.7,2.0,0.9,0.3,0.1,0.5,1,0,4432190,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mil.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432190.png&w=350&h=254
